Months,EMXP,MXSD,TPCP,TSNW
08/01/2004,1041,0,1869,0
09/01/2004,869,0,2095,0
10/01/2004,147,0,321,0
11/01/2004,338,0,944,0
12/01/2004,185,25,892,66
01/01/2005,173,305,863,336
02/01/2005,198,152,641,336
03/01/2005,650,152,1079,199
04/01/2005,307,0,1227,0
05/01/2005,124,0,451,0
06/01/2005,152,0,528,0
07/01/2005,439,0,1324,0
08/01/2005,104,0,148,0
09/01/2005,429,0,548,0
10/01/2005,1184,0,3803,0
11/01/2005,241,0,1030,0
12/01/2005,234,76,947,127
01/01/2006,257,51,1107,53
02/01/2006,264,432,564,427
03/01/2006,157,25,310,13
04/01/2006,541,0,1190,25
05/01/2006,274,0,1090,0
06/01/2006,343,0,1629,0
07/01/2006,358,0,1286,0
08/01/2006,193,0,676,0
09/01/2006,236,0,656,0
10/01/2006,272,0,1238,0
11/01/2006,465,0,1154,0
12/01/2006,170,0,485,0
01/01/2007,315,25,786,44
02/01/2007,150,51,348,84
03/01/2007,401,76,925,89
04/01/2007,660,0,1773,0
05/01/2007,152,0,559,0
06/01/2007,450,0,1360,0
07/01/2007,422,0,1345,0
08/01/2007,881,0,1494,0
09/01/2007,206,0,282,0
10/01/2007,472,0,1338,0
11/01/2007,236,0,594,0
12/01/2007,188,25,1115,61
01/01/2008,150,0,593,11
02/01/2008,384,127,1194,226
03/01/2008,401,0,916,0
04/01/2008,267,0,699,0
05/01/2008,241,0,825,0
06/01/2008,422,0,904,0
07/01/2008,295,0,838,0
08/01/2008,259,0,816,0
09/01/2008,638,0,1715,0
10/01/2008,485,0,895,0
11/01/2008,178,0,848,0
12/01/2008,523,76,1518,124
01/01/2009,386,51,726,162
02/01/2009,97,25,250,102
03/01/2009,140,178,488,179
04/01/2009,310,0,1077,0
05/01/2009,262,0,1117,0
06/01/2009,572,0,1968,0
07/01/2009,193,0,908,0
08/01/2009,373,0,889,0
09/01/2009,358,0,804,0
10/01/2009,457,0,1492,0
11/01/2009,170,0,358,0
12/01/2009,384,356,1587,412
01/01/2010,216,0,425,36
02/01/2010,404,254,1529,754
03/01/2010,582,102,2192,0
04/01/2010,394,0,859,0
05/01/2010,229,0,504,0
06/01/2010,251,0,345,0
07/01/2010,216,0,620,0
08/01/2010,450,0,793,0
09/01/2010,269,0,1113,0
10/01/2010,513,0,1124,0
11/01/2010,226,0,495,0
12/01/2010,292,406,794,402
01/01/2011,325,305,904,561
02/01/2011,320,229,811,71
03/01/2011,335,25,1157,33
04/01/2011,318,0,1093,0
05/01/2011,257,0,802,0
06/01/2011,236,0,532,0
07/01/2011,325,0,687,0
08/01/2011,1981,0,4379,0
09/01/2011,305,0,1071,0
10/01/2011,462,25,1119,38
11/01/2011,381,0,824,0
12/01/2011,251,0,793,0
01/01/2012,229,51,556,41
02/01/2012,124,0,320,16
03/01/2012,89,0,287,0
04/01/2012,544,0,754,0
05/01/2012,447,0,1801,0
06/01/2012,483,0,1747,0
07/01/2012,124,0,391,0
08/01/2012,538,0,1023,0
09/01/2012,401,0,1030,0
10/01/2012,130,0,566,0
11/01/2012,246,102,396,110
12/01/2012,208,0,1254,10
01/01/2013,208,25,608,29
02/01/2013,198,152,695,189
03/01/2013,168,25,590,112
04/01/2013,221,0,454,0
05/01/2013,391,0,1025,0
06/01/2013,1019,0,2021,0
07/01/2013,249,0,576,0
08/01/2013,188,0,694,0
09/01/2013,295,0,489,0
10/01/2013,66,0,85,0
11/01/2013,358,0,646,5
12/01/2013,300,30,1144,170
01/01/2014,183,180,765,433
02/01/2014,323,250,1167,535
03/01/2014,660,30,1082,15
04/01/2014,1189,0,1773,3
05/01/2014,320,0,916,0
06/01/2014,251,0,663,0
07/01/2014,475,0,1229,0
08/01/2014,742,0,1075,0