QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote 
"USMCLAUG.11JEWS.R25","Strongly approve","11","Do you approve or disapprove of building a mosque near the site of Ground Zero (the site of the terrorist attack September 11, 2001 on the World Trade Center in New York City which is funded by wealthy foreign Arabs)?...Strongly approve, somewhat approve, somewhat disapprove, strongly disapprove","","","07/12/2011","McLaughlin & Associates/Caddell Associates","Secure America Now","Secure America Now Jewish Voters Survey","06/21/2011","06/23/2011","Y","national likely american jewish voters","600","telephone","Likely voters are those who said they are very/somewhat likely to vote in the 2012 election for president." 
"USMCLAUG.11JEWS.R25","Somewhat approve","17","Do you approve or disapprove of building a mosque near the site of Ground Zero (the site of the terrorist attack September 11, 2001 on the World Trade Center in New York City which is funded by wealthy foreign Arabs)?...Strongly approve, somewhat approve, somewhat disapprove, strongly disapprove","","","07/12/2011","McLaughlin & Associates/Caddell Associates","Secure America Now","Secure America Now Jewish Voters Survey","06/21/2011","06/23/2011","Y","national likely american jewish voters","600","telephone","Likely voters are those who said they are very/somewhat likely to vote in the 2012 election for president." 
"USMCLAUG.11JEWS.R25","Somewhat disapprove","15","Do you approve or disapprove of building a mosque near the site of Ground Zero (the site of the terrorist attack September 11, 2001 on the World Trade Center in New York City which is funded by wealthy foreign Arabs)?...Strongly approve, somewhat approve, somewhat disapprove, strongly disapprove","","","07/12/2011","McLaughlin & Associates/Caddell Associates","Secure America Now","Secure America Now Jewish Voters Survey","06/21/2011","06/23/2011","Y","national likely american jewish voters","600","telephone","Likely voters are those who said they are very/somewhat likely to vote in the 2012 election for president." 
"USMCLAUG.11JEWS.R25","Strongly disapprove","43","Do you approve or disapprove of building a mosque near the site of Ground Zero (the site of the terrorist attack September 11, 2001 on the World Trade Center in New York City which is funded by wealthy foreign Arabs)?...Strongly approve, somewhat approve, somewhat disapprove, strongly disapprove","","","07/12/2011","McLaughlin & Associates/Caddell Associates","Secure America Now","Secure America Now Jewish Voters Survey","06/21/2011","06/23/2011","Y","national likely american jewish voters","600","telephone","Likely voters are those who said they are very/somewhat likely to vote in the 2012 election for president." 
"USMCLAUG.11JEWS.R25","Don't know/Refused","14","Do you approve or disapprove of building a mosque near the site of Ground Zero (the site of the terrorist attack September 11, 2001 on the World Trade Center in New York City which is funded by wealthy foreign Arabs)?...Strongly approve, somewhat approve, somewhat disapprove, strongly disapprove","","","07/12/2011","McLaughlin & Associates/Caddell Associates","Secure America Now","Secure America Now Jewish Voters Survey","06/21/2011","06/23/2011","Y","national likely american jewish voters","600","telephone","Likely voters are those who said they are very/somewhat likely to vote in the 2012 election for president." 
"USCBSNYT.090811.R36","Favor strongly","12","Do you favor or oppose the building of a mosque and Islamic community center two blocks from Ground Zero (the site of the September 11, 2001 terrorist attacks on the World Trade Center in New York City)? (If Favor/Oppose, ask:) Do you favor/oppose that strongly, or not that strongly?","","","09/08/2011","CBS News/New York Times","","CBS News/New York Times Poll","08/19/2011","08/23/2011","Y","national adult","1165","telephone","The interviews were conducted by land-line and cell phones.  There were parallel surveys conducted of New York City residents and of those who said a close friend or family member was killed on September 11, 2001." 
"USCBSNYT.090811.R36","Favor not strongly","15","Do you favor or oppose the building of a mosque and Islamic community center two blocks from Ground Zero (the site of the September 11, 2001 terrorist attacks on the World Trade Center in New York City)? (If Favor/Oppose, ask:) Do you favor/oppose that strongly, or not that strongly?","","","09/08/2011","CBS News/New York Times","","CBS News/New York Times Poll","08/19/2011","08/23/2011","Y","national adult","1165","telephone","The interviews were conducted by land-line and cell phones.  There were parallel surveys conducted of New York City residents and of those who said a close friend or family member was killed on September 11, 2001." 
"USCBSNYT.090811.R36","Oppose not strongly","15","Do you favor or oppose the building of a mosque and Islamic community center two blocks from Ground Zero (the site of the September 11, 2001 terrorist attacks on the World Trade Center in New York City)? (If Favor/Oppose, ask:) Do you favor/oppose that strongly, or not that strongly?","","","09/08/2011","CBS News/New York Times","","CBS News/New York Times Poll","08/19/2011","08/23/2011","Y","national adult","1165","telephone","The interviews were conducted by land-line and cell phones.  There were parallel surveys conducted of New York City residents and of those who said a close friend or family member was killed on September 11, 2001." 
"USCBSNYT.090811.R36","Oppose strongly","37","Do you favor or oppose the building of a mosque and Islamic community center two blocks from Ground Zero (the site of the September 11, 2001 terrorist attacks on the World Trade Center in New York City)? (If Favor/Oppose, ask:) Do you favor/oppose that strongly, or not that strongly?","","","09/08/2011","CBS News/New York Times","","CBS News/New York Times Poll","08/19/2011","08/23/2011","Y","national adult","1165","telephone","The interviews were conducted by land-line and cell phones.  There were parallel surveys conducted of New York City residents and of those who said a close friend or family member was killed on September 11, 2001." 
"USCBSNYT.090811.R36","Don't know/No answer","21","Do you favor or oppose the building of a mosque and Islamic community center two blocks from Ground Zero (the site of the September 11, 2001 terrorist attacks on the World Trade Center in New York City)? (If Favor/Oppose, ask:) Do you favor/oppose that strongly, or not that strongly?","","","09/08/2011","CBS News/New York Times","","CBS News/New York Times Poll","08/19/2011","08/23/2011","Y","national adult","1165","telephone","The interviews were conducted by land-line and cell phones.  There were parallel surveys conducted of New York City residents and of those who said a close friend or family member was killed on September 11, 2001." 
Number of items downloaded: 2