Timestamp,Program,Baseline experience,Do you use twitter?,"Software experience (the smaller list) [R, data manipulation and modeling]","Software experience (the smaller list) [R, graphics (base, lattice, ggplot2, or grid)]","Software experience (the smaller list) [Reproducible research (sweave, knitr, ipnb, etc.)]",Software experience (the smaller list) [Python],"Software experience (the smaller list) [Version control (git, mercurial, subversion, etc.)]",Software experience (the smaller list) [Databases (any)],Software experience (the smaller list) [Web frontend (html/css/basic js/jquery)],Software experience (the smaller list) [Serious javascript (angular/ember/node/d3)],Are you on the waitlist?
9/4/2014 18:16:46,Other PhD,"Excel, Stata, SPSS, dropbox, google drive (formerly docs)",No,None,None,None,None,None,None,None,None,No
9/4/2014 18:17:10,QMSS Second semester +,"Excel, SQL, Web: html, css, js",Yes,None,None,None,None,None,A little,A little,None,No
9/4/2014 18:17:12,Other masters,"Excel, R, Stata, SPSS, Rstudio, dropbox",Yes,A little,A little,A little,None,A little,A little,A little,A little,No
9/4/2014 18:17:30,QMSS Second semester +,"Excel, R",No,A little,A little,None,None,None,None,None,None,No
9/4/2014 18:17:30,Other masters,"Excel, Stata, dropbox",No,A little,None,None,None,None,A little,None,None,No
9/4/2014 18:17:32,QMSS Second semester +,"Excel, R, Stata, ggplot2, SQL, git / Github, shell (terminal / command line), regular expressions (grep), Rstudio, JSON, Python, LaTeX, XML, Web: html, css, js, amazon web services (ec2, s3), dropbox, google drive (formerly docs)",Yes,Confident,Confident,A little,A little,Confident,Confident,A little,None,No
9/4/2014 18:17:33,QMSS Second semester +,"Excel, R, Stata, ggplot2, git / Github, shell (terminal / command line), Rstudio, amazon web services (ec2, s3), dropbox, google drive (formerly docs)",No,Confident,Confident,None,None,None,None,None,None,No
9/4/2014 18:17:33,Other PhD,"Excel, R, Stata, Rstudio, Sweave/knitr, LaTeX, dropbox, google drive (formerly docs)",No,Confident,A little,A little,None,None,None,None,None,No
9/4/2014 18:17:40,Other PhD,"Excel, SPSS, Web: html, css, js, dropbox, google drive (formerly docs)",No,None,None,None,None,None,A little,A little,None,No
9/4/2014 18:17:43,Other masters,"Excel, R, Stata, SQL, Rstudio, Python, XML, Web: html, css, js, dropbox, google drive (formerly docs)",Yes,A little,A little,None,A little,None,Confident,A little,None,No
9/4/2014 18:17:44,Other masters,"Excel, R, ggplot2, SQL, shell (terminal / command line), Rstudio, Python, C/C++, LaTeX, Make, dropbox, google drive (formerly docs)",No,Confident,Confident,None,A little,None,Confident,None,None,No
9/4/2014 18:17:45,QMSS First semester,"Excel, Stata, dropbox, google drive (formerly docs)",No,None,None,None,None,None,A little,None,None,Yes
9/4/2014 18:17:46,QMSS First semester,"Excel, R, Stata, SPSS, Rstudio, Python, LaTeX, dropbox, google drive (formerly docs)",Yes,Confident,A little,None,A little,None,None,A little,None,No
9/4/2014 18:17:47,Statistics,"Excel, R, ggplot2, lattice, SQL, git / Github, SPSS, shell (terminal / command line), regular expressions (grep), Rstudio, JSON, Python, Sweave/knitr, Processing (language), C/C++, Pandas, dropbox, google drive (formerly docs)",Yes,A little,A little,A little,A little,A little,A little,A little,None,No
9/4/2014 18:17:48,QMSS Second semester +,"Excel, R, Stata, SQL, C/C++, Web: html, css, js, amazon web services (ec2, s3), dropbox, google drive (formerly docs)",No,A little,None,None,None,None,Confident,A little,None,No
9/4/2014 18:17:49,QMSS First semester,"Excel, R, Stata, SPSS, Rstudio, C/C++, Web: html, css, js, dropbox, google drive (formerly docs)",No,A little,A little,None,None,None,None,A little,None,Yes
9/4/2014 18:17:49,Other masters,"Excel, R, Stata, D3, ggplot2, lattice, SQL, git / Github, shell (terminal / command line), regular expressions (grep), Rstudio, JSON, Python, Sweave/knitr, Leaflet, CartoDB, LaTeX, Pandas, Web: html, css, js, vagrant/virtualbox, dropbox, google drive (formerly docs), Pair programming",Yes,Confident,Confident,Confident,A little,Confident,A little,A little,None,No
9/4/2014 18:17:50,QMSS First semester,"Excel, git / Github, shell (terminal / command line), C/C++, Web: html, css, js, google drive (formerly docs)",No,None,None,None,None,None,None,A little,None,No
9/4/2014 18:18:06,QMSS First semester,"Excel, SPSS, dropbox, google drive (formerly docs)",No,None,None,None,None,None,A little,None,None,No
9/4/2014 18:18:08,QMSS First semester,"Excel, SPSS, dropbox",Yes,A little,None,None,None,None,None,None,None,Yes
9/4/2014 18:18:09,QMSS Second semester +,"Excel, R, D3, Gephi, ggplot2, lattice, SQL, git / Github, shell (terminal / command line), regular expressions (grep), Rstudio, JSON, Python, Sweave/knitr, LaTeX, Pandas, Julia, XML, Web: html, css, js, amazon web services (ec2, s3), dropbox, google drive (formerly docs)",No,Expert,Confident,Confident,A little,A little,A little,None,None,No
9/4/2014 18:18:14,QMSS First semester,"Excel, R, Stata, git / Github, shell (terminal / command line), regular expressions (grep), Rstudio, Python, non-git version control (cvs, svn, hg, bzr), dropbox, google drive (formerly docs)",Yes,Confident,A little,None,A little,A little,A little,None,None,Yes
9/4/2014 18:18:15,Other masters,"Excel, R, Stata, ggplot2, git / Github, shell (terminal / command line), regular expressions (grep), Rstudio, Python, Processing (language), LaTeX, XML, Web: html, css, js, dropbox, google drive (formerly docs)",Yes,Confident,Confident,None,A little,A little,None,A little,None,Yes
9/4/2014 18:18:21,Other masters,"Excel, Stata, SQL, SPSS, Python, dropbox, google drive (formerly docs)",No,None,None,None,A little,None,Confident,None,None,No
9/4/2014 18:18:22,QMSS First semester,"Excel, R, Stata, Rstudio, C/C++, dropbox, google drive (formerly docs)",No,A little,A little,None,None,None,None,None,None,No
9/4/2014 18:18:25,QMSS First semester,"Excel, Stata, Web: html, css, js, dropbox, google drive (formerly docs)",No,None,None,None,None,None,None,Confident,None,No
9/4/2014 18:18:29,Other masters,"Excel, R, ggplot2, SQL, git / Github, SPSS, regular expressions (grep), Rstudio, Python, LaTeX, dropbox, google drive (formerly docs)",No,Confident,Confident,A little,A little,A little,A little,None,None,No
9/4/2014 18:18:29,QMSS third semester,"Excel, R, Stata, ggplot2, SQL, SPSS, regular expressions (grep), Rstudio, Python, dropbox",No,A little,A little,None,A little,None,A little,None,None,No
9/4/2014 18:18:31,QMSS First semester,"Excel, R, SQL, git / Github, SPSS, Rstudio, C/C++, dropbox, google drive (formerly docs)",No,Confident,Confident,None,None,Confident,Confident,A little,None,Yes
9/4/2014 18:18:33,QMSS First semester,"Excel, R, Stata, ggplot2, git / Github, shell (terminal / command line), Rstudio, JSON, Python, Sweave/knitr, LaTeX, dropbox, google drive (formerly docs)",Yes,Confident,Confident,A little,A little,None,None,None,None,No
9/4/2014 18:18:41,Undergraduate,"Excel, Web: html, css, js, dropbox, google drive (formerly docs)",Yes,None,None,None,None,None,None,A little,A little,No
9/4/2014 18:18:42,Other masters,"Excel, R, D3, ggplot2, lattice, SQL, git / Github, shell (terminal / command line), regular expressions (grep), Rstudio, JSON, Python, Sweave/knitr, LaTeX, Pandas, XML, Web: html, css, js, dropbox, google drive (formerly docs)",Yes,Confident,Confident,Confident,A little,Confident,A little,A little,None,No
9/4/2014 18:18:43,Other masters,"Excel, R, ggplot2, SQL, git / Github, LaTeX, dropbox, google drive (formerly docs)",Yes,Confident,Confident,A little,None,A little,A little,None,None,No
9/4/2014 18:18:46,Other PhD,"Excel, SQL, SPSS, Rstudio, google drive (formerly docs)",No,A little,None,None,None,None,Confident,None,None,Yes
9/4/2014 18:18:52,Other masters,"Excel, R, ggplot2, SQL, git / Github, SPSS, regular expressions (grep), Rstudio, Sweave/knitr, C/C++, LaTeX, dropbox, google drive (formerly docs)",Yes,Confident,Confident,Confident,A little,A little,Confident,A little,A little,No
9/4/2014 18:18:55,QMSS Third semester,"Excel, R, Stata, Gephi, SQL, git / Github, shell (terminal / command line), regular expressions (grep), Rstudio, JSON, Python, LaTeX, Pandas, XML",No,Confident,A little,None,A little,A little,A little,None,None,No
9/4/2014 18:19:00,QMSS First semester,Excel,No,None,None,None,None,None,None,None,None,Yes
9/4/2014 18:19:01,QMSS First semester,"Excel, R, Stata, SQL, Rstudio, Python",No,A little,Confident,None,A little,None,A little,None,None,Yes
9/4/2014 18:19:11,Stat,"Excel, R, Stata, Rstudio, Python, LaTeX, dropbox, google drive (formerly docs)",No,A little,A little,None,A little,None,None,None,None,Yes
9/4/2014 18:19:13,Other masters,"Excel, R, Stata, SPSS, dropbox",No,Confident,Confident,None,None,None,None,None,None,No
9/4/2014 18:19:14,Other masters,"Excel, R, Stata, ggplot2, lattice, SQL, git / Github, SPSS, shell (terminal / command line), regular expressions (grep), Rstudio, JSON, Python, LaTeX, XML, Web: html, css, js, dropbox",Yes,Confident,Confident,Confident,A little,Confident,A little,A little,A little,No
9/4/2014 18:19:21,Other masters,"Excel, R, Stata, ggplot2, SQL, SPSS, Rstudio, C/C++, LaTeX, dropbox, google drive (formerly docs)",No,Confident,Confident,None,A little,None,A little,None,None,Yes
9/4/2014 18:19:31,QMSS First semester,"Excel, Stata",No,None,None,None,None,None,A little,None,None,Yes
9/4/2014 18:19:49,QMSS First semester,"Excel, R, Stata, ggplot2, lattice, git / Github, Rstudio, Python, Sweave/knitr",Yes,A little,A little,A little,A little,A little,None,None,None,Yes
9/4/2014 18:19:51,QMSS Second semester +,"Excel, R, Stata, Rstudio",No,A little,None,None,None,None,None,None,None,No
9/4/2014 18:19:53,QMSS Second semester +,"Excel, R, Stata, ggplot2, Rstudio, C/C++, amazon web services (ec2, s3), dropbox, google drive (formerly docs)",No,A little,A little,None,None,None,None,A little,None,No
9/4/2014 18:19:54,Other masters,"Excel, R, Stata, ggplot2, SQL, git / Github, SPSS, regular expressions (grep), Rstudio, JSON, Python, Sweave/knitr, C/C++, LaTeX, Pandas, vagrant/virtualbox, dropbox",No,Confident,Confident,A little,Confident,A little,A little,None,None,Yes
9/4/2014 18:19:54,QMSS First semester,"Excel, R, Stata, ggplot2, SQL, SPSS, regular expressions (grep), Rstudio, dropbox, google drive (formerly docs)",No,Expert,Confident,None,None,None,A little,None,None,Yes
9/4/2014 18:19:55,QMSS Second semester +,"Excel, Stata, dropbox",No,None,None,None,None,None,A little,A little,None,No
9/4/2014 18:20:28,QMSS First semester,"Excel, Stata, SPSS, Web: html, css, js, amazon web services (ec2, s3), dropbox, google drive (formerly docs)",Yes,None,None,None,None,None,A little,None,None,Yes
9/4/2014 18:20:54,EdD,"Excel, Stata, SPSS, Web: html, css, js, dropbox, google drive (formerly docs)",No,Confident,None,None,None,None,None,A little,None,No
9/4/2014 18:21:12,Other PhD,"Excel, R, Stata, ggplot2, SPSS, Rstudio, LaTeX, dropbox, google drive (formerly docs)",Yes,Confident,Confident,A little,None,None,Confident,None,None,No
9/4/2014 18:21:43,QMSS First semester,"Excel, Stata, SQL, SPSS, C/C++, LaTeX",Yes,None,None,None,None,None,A little,None,None,Yes
9/4/2014 18:22:28,Other masters,"Excel, R",Yes,A little,A little,None,None,None,None,None,None,No
9/4/2014 18:42:20,QMSS Second semester +,"Excel, R, Stata, ggplot2, git / Github, SPSS, regular expressions (grep), Rstudio, XML, dropbox, google drive (formerly docs)",No,Confident,A little,None,None,None,None,A little,A little,No